# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 02/09/2025, 02:10:15
# Discord Bot: OPPS TRACKER
# Total Players: 875
#
# DATABASE STATISTICS:
# - Total Players: 875
# - Royalty RP Only: 566
# - Horizon Only: 301
# - Both Servers: 8
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

_BabyVoid_ [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 278
-> TTV S7Duncan <- [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
-Smokey- [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
:) [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 168
. [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 1183
(HL-D) Pvt. NiceGuy [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
[H°M] PyricGGz [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 730
[HOG] SEANKINGSTONLVR420 [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 02/09/2025 | Sightings: 219
[HOG] Sonic Dill Burger [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
<3 [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 195
|<imber_u215 / Astrid [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 205
|SITH| [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 385
★ highrollerrr [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
☠ Dragon Lotus ☠ [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 736
♡.♡ [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 1
♰𝕰𝖒𝖆𝖓♰ [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
✝ Jarrell [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 69
✞ 𝔾𝕠𝕠𝕟 [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 19/08/2025 | Sightings: 585
✮ genevieve ✮ [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 261
❍ Sins [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 51
❤ Lemon ❤ [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 451
007 [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 276
0sweet [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
123 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 651
132 [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
1eyebye [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 10
2822 [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 1
2x2x [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 732
44774 [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 1
4twenty1 [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
5kylander [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 731
81stDragon [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
9ine [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 345
9x19 [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
aarons [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 39
Abewa [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 730
Abraid [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 386
Abreito [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
ac [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Ace [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
Ace Sicario [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 231
Adam [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 738
Adam Anderson [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 639
aDefiledSoul [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 730
AdmiralSum [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 182
